name	nameseq	pangolineage	date	state
106_S73/B.1.1/2020-03-30/GUAYAS	106_S73	B.1.1	2020-03-30	GUAYAS
121842_S1/B.1.1/2020-09-02/SANTO_DOMINGO	121842_S1	B.1.1	2020-09-02	SANTO_DOMINGO
122062_S2/B.1.1/2020-09-02/EL_ORO	122062_S2	B.1.1	2020-09-02	EL_ORO
122074_S3/B.1.1.194/2020-09-02/EL_ORO	122074_S3	B.1.1.194	2020-09-02	EL_ORO
122084_S4/B.1.1/2020-09-02/EL_ORO	122084_S4	B.1.1	2020-09-02	EL_ORO
122097_S5/B.1.1/2020-09-02/EL_ORO	122097_S5	B.1.1	2020-09-02	EL_ORO
122177_S6/B.1.1/2020-09-01/LOJA	122177_S6	B.1.1	2020-09-01	LOJA
122181_S7/B.1.1/2020-09-02/LOJA	122181_S7	B.1.1	2020-09-02	LOJA
122182_S8/B.1.1/2020-09-02/LOJA	122182_S8	B.1.1	2020-09-02	LOJA
122226_S9/B.1.1/2020-09-02/LOJA	122226_S9	B.1.1	2020-09-02	LOJA
122242_S10/B.1.221/2020-09-02/LOJA	122242_S10	B.1.221	2020-09-02	LOJA
122250_S11/B.1.1.135/2020-09-02/LOJA	122250_S11	B.1.1.135	2020-09-02	LOJA
122266_S12/B.1.1/2020-09-02/EL_ORO	122266_S12	B.1.1	2020-09-02	EL_ORO
122277_S13/B.1.1.54/2020-09-02/EL_ORO	122277_S13	B.1.1.54	2020-09-02	EL_ORO
122278_S14/B.1.1.54/2020-09-02/EL_ORO	122278_S14	B.1.1.54	2020-09-02	EL_ORO
122279_S15/B.1.1/2020-09-02/EL_ORO	122279_S15	B.1.1	2020-09-02	EL_ORO
122474_S16/B.1.1.54/2020-09-03/GUAYAS	122474_S16	B.1.1.54	2020-09-03	GUAYAS
122475_S17/B.1.1/2020-09-03/GUAYAS	122475_S17	B.1.1	2020-09-03	GUAYAS
122476_S18/B.1.1.51/2020-09-03/GUAYAS	122476_S18	B.1.1.51	2020-09-03	GUAYAS
122477_S19/B.1.1/2020-09-03/GUAYAS	122477_S19	B.1.1	2020-09-03	GUAYAS
122519_S20/B.1.1/2020-09-02/SANTO_DOMINGO	122519_S20	B.1.1	2020-09-02	SANTO_DOMINGO
122535_S21/B.1.1/2020-09-02/PICHINCHA	122535_S21	B.1.1	2020-09-02	PICHINCHA
122637_S22/B.1.1/2020-09-03/LOS_RIOS	122637_S22	B.1.1	2020-09-03	LOS_RIOS
122754_S23/B.1.1/2020-09-03/EL_ORO	122754_S23	B.1.1	2020-09-03	EL_ORO
