name	nameseq	pangolineage	date	state
106_S73/B.1.1/2020-03-30/GUAYAS	106_S73	B.1.1	2020-03-30	GUAYAS
121842_S1/B.1.1/2020-09-02/SANTO_DOMINGO	121842_S1	B.1.1	2020-09-02	SANTO_DOMINGO
122062_S2/B.1.1/2020-09-02/EL_ORO	122062_S2	B.1.1	2020-09-02	EL_ORO
122084_S4/B.1.1/2020-09-02/EL_ORO	122084_S4	B.1.1	2020-09-02	EL_ORO
122097_S5/B.1.1/2020-09-02/EL_ORO	122097_S5	B.1.1	2020-09-02	EL_ORO
122177_S6/B.1.1/2020-09-01/LOJA	122177_S6	B.1.1	2020-09-01	LOJA
122181_S7/B.1.1/2020-09-02/LOJA	122181_S7	B.1.1	2020-09-02	LOJA
122182_S8/B.1.1/2020-09-02/LOJA	122182_S8	B.1.1	2020-09-02	LOJA
122226_S9/B.1.1/2020-09-02/LOJA	122226_S9	B.1.1	2020-09-02	LOJA
122266_S12/B.1.1/2020-09-02/EL_ORO	122266_S12	B.1.1	2020-09-02	EL_ORO
122279_S15/B.1.1/2020-09-02/EL_ORO	122279_S15	B.1.1	2020-09-02	EL_ORO
122475_S17/B.1.1/2020-09-03/GUAYAS	122475_S17	B.1.1	2020-09-03	GUAYAS
122477_S19/B.1.1/2020-09-03/GUAYAS	122477_S19	B.1.1	2020-09-03	GUAYAS
122519_S20/B.1.1/2020-09-02/SANTO_DOMINGO	122519_S20	B.1.1	2020-09-02	SANTO_DOMINGO
122535_S21/B.1.1/2020-09-02/PICHINCHA	122535_S21	B.1.1	2020-09-02	PICHINCHA
122637_S22/B.1.1/2020-09-03/LOS_RIOS	122637_S22	B.1.1	2020-09-03	LOS_RIOS
122754_S23/B.1.1/2020-09-03/EL_ORO	122754_S23	B.1.1	2020-09-03	EL_ORO
122809_S25/B.1.1/2020-09-03/GUAYAS	122809_S25	B.1.1	2020-09-03	GUAYAS
122861_S26/B.1.1/2020-09-04/GUAYAS	122861_S26	B.1.1	2020-09-04	GUAYAS
122892_S27/B.1.1/2020-09-04/BOLIVAR	122892_S27	B.1.1	2020-09-04	BOLIVAR
126269_S31/B.1.1/2020-09-10/EL_ORO	126269_S31	B.1.1	2020-09-10	EL_ORO
126317_S34/B.1.1/2020-09-10/EL_ORO	126317_S34	B.1.1	2020-09-10	EL_ORO
127173_S38/B.1.1/2020-09-11/MANABI	127173_S38	B.1.1	2020-09-11	MANABI
127194_S41/B.1.1/2020-09-10/SANTO_DOMINGO	127194_S41	B.1.1	2020-09-10	SANTO_DOMINGO
