name,date,qc.overallStatus
106_S73/B.1.1/2020-03-30,2020-03-30,mediocre
121842_S1/B.1.1/2020-09-02,2020-09-02,mediocre
122062_S2/B.1.1/2020-09-02,2020-09-02,good
122074_S3/B.1.1.194/2020-09-02,2020-09-02,good
122084_S4/B.1.1/2020-09-02,2020-09-02,good
122097_S5/B.1.1/2020-09-02,2020-09-02,good
122177_S6/B.1.1/2020-09-01,2020-09-01,good
122181_S7/B.1.1/2020-09-02,2020-09-02,good
122182_S8/B.1.1/2020-09-02,2020-09-02,mediocre
122226_S9/B.1.1/2020-09-02,2020-09-02,mediocre
122242_S10/B.1.221/2020-09-02,2020-09-02,good
122250_S11/B.1.1.135/2020-09-02,2020-09-02,good
122266_S12/B.1.1/2020-09-02,2020-09-02,good
122277_S13/B.1.1.54/2020-09-02,2020-09-02,good
122278_S14/B.1.1.54/2020-09-02,2020-09-02,good
122279_S15/B.1.1/2020-09-02,2020-09-02,good
122474_S16/B.1.1.54/2020-09-03,2020-09-03,good
122475_S17/B.1.1/2020-09-03,2020-09-03,good
122476_S18/B.1.1.51/2020-09-03,2020-09-03,good
122477_S19/B.1.1/2020-09-03,2020-09-03,good
122519_S20/B.1.1/2020-09-02,2020-09-02,good
122535_S21/B.1.1/2020-09-02,2020-09-02,good
122637_S22/B.1.1/2020-09-03,2020-09-03,good
122754_S23/B.1.1/2020-09-03,2020-09-03,mediocre
122760_S24/B.1.1.117/2020-09-03,2020-09-03,good
122809_S25/B.1.1/2020-09-03,2020-09-03,good
122861_S26/B.1.1/2020-09-04,2020-09-04,good
122892_S27/B.1.1/2020-09-04,2020-09-04,good
122894_S28/C.29/2020-09-04,2020-09-04,mediocre
122895_S29/B.1.1.117/2020-09-04,2020-09-04,mediocre
126263_S30/B.1.1.1/2020-09-10,2020-09-10,good
126269_S31/B.1.1/2020-09-10,2020-09-10,good
126287_S32/B.1.1.1/2020-09-10,2020-09-10,good
126313_S33/B.1.1.1/2020-09-10,2020-09-10,good
126317_S34/B.1.1/2020-09-10,2020-09-10,good
127162_S35/B.1.1.99/2020-09-10,2020-09-10,good
127163_S36/B.1.1.213/2020-09-11,2020-09-11,good
127172_S37/B.1/2020-09-11,2020-09-11,good
127173_S38/B.1.1/2020-09-11,2020-09-11,mediocre
127191_S39/B.1.1.231/2020-09-10,2020-09-10,good
127192_S40/C.4/2020-09-10,2020-09-10,good
127194_S41/B.1.1/2020-09-10,2020-09-10,good
127205_S42/B.1.1.1/2020-09-11,2020-09-11,good
127228_S43/B.1.1.1/2020-09-12,2020-09-12,good
127929_S44/B.1.1/2020-09-15,2020-09-15,good
128002_S45/B.1.1/2020-09-15,2020-09-15,good
128457_S46/B.1.1.194/2020-09-15,2020-09-15,good
128458_S47/B.1.1/2020-09-15,2020-09-15,good
129267_S48/B.1.1.1/2020-09-15,2020-09-15,good
129550_S49/B.1.1.137/2020-09-17,2020-09-17,good
129558_S50/B.1.1/2020-09-17,2020-09-17,good
129688_S51/C.4/2020-09-16,2020-09-16,good
129690_S52/B.1.1/2020-09-16,2020-09-16,good
129744_S53/B.1.1/2020-09-16,2020-09-16,good
129947_S54/B.1.1/2020-09-17,2020-09-17,mediocre
129949_S55/B.1.1.1/2020-09-17,2020-09-17,good
130032_S56/B.1.1/2020-09-17,2020-09-17,good
130034_S57/B.1.1/2020-09-17,2020-09-17,good
130439_S58/B.1.1/2020-09-18,2020-09-18,good
130534_S59/B.1.1/2020-09-17,2020-09-17,mediocre
131358_S60/B.1.1/2020-09-18,2020-09-18,mediocre
131362_S61/B.1.1/2020-09-19,2020-09-19,good
131367_S62/B.1.1/2020-09-21,2020-09-21,good
131373_S63/B.1.1/2020-09-21,2020-09-21,good
131411_S64/B.1.1/2020-09-21,2020-09-21,good
131453_S65/B.1.1/2020-09-21,2020-09-21,good
131748_S66/B.1.1.10/2020-09-22,2020-09-22,good
131823_S67/B.1.1/2020-09-22,2020-09-22,good
131901_S68/B.1.1/2020-09-22,2020-09-22,mediocre
136_S85/B.1.1/2020-04-01,2020-04-01,mediocre
137726_S69/B.1.1/2020-10-05,2020-10-05,mediocre
137747_S70/B.1.1.117/2020-10-01,2020-10-01,good
137749_S71/B.1.1/2020-10-04,2020-10-04,mediocre
137797_S72/B.1.1/2020-10-06,2020-10-06,good
137818_S73/B.1.1/2020-10-06,2020-10-06,good
137821_S74/B.1.1.10/2020-10-06,2020-10-06,good
137881_S75/B.1/2020-10-05,2020-10-05,good
137887_S76/B.1.1/2020-10-05,2020-10-05,good
137888_S77/B.1.1.134/2020-10-05,2020-10-05,mediocre
137929_S78/B.1.1/2020-10-05,2020-10-05,good
137940_S79/B.1.1/2020-10-06,2020-10-06,good
137943_S80/B.1.1/2020-10-06,2020-10-06,good
138005_S81/B.1.1/2020-10-06,2020-10-06,good
138009_S82/B.1.1.1/2020-10-06,2020-10-06,good
138078_S83/B.1.1.1/2020-10-06,2020-10-06,good
138084_S84/B.1.1.1/2020-10-06,2020-10-06,good
138102_S85/B.1.1/2020-10-06,2020-10-06,good
138117_S86/B.1.1/2020-10-06,2020-10-06,good
138121_S87/B.1.1.1/2020-10-06,2020-10-06,good
138152_S88/B.1.1/2020-10-06,2020-10-06,good
138159_S89/B.1.1/2020-10-06,2020-10-06,good
138173_S90/B.1.1.1/2020-10-06,2020-10-06,good
138224_S91/B.1.1.1/2020-10-07,2020-10-07,good
138225_S92/B.1.1.1/2020-10-07,2020-10-07,good
138241_S93/B.1.1.1/2020-10-07,2020-10-07,good
138245_S94/B.1.1.10/2020-10-07,2020-10-07,good
138367_S95/B.1.1/2020-10-07,2020-10-07,good
138426_S96/B.1.1/2020-10-07,2020-10-07,good
138458_S1/B.1.1.135/2020-10-07,2020-10-07,good
138541_S2/B.1.1/2020-10-07,2020-10-07,good
138551_S3/B.1.1.54/2020-10-05,2020-10-05,good
138571_S4/B.1.1/2020-10-06,2020-10-06,good
138580_S5/B.1.1/2020-10-07,2020-10-07,good
138593_S6/B.1.1/2020-10-07,2020-10-07,good
138718_S7/B.1.1/2020-10-07,2020-10-07,mediocre
138728_S8/B.1.1/2020-10-07,2020-10-07,good
138734_S9/B.1.1/2020-10-07,2020-10-07,good
138761_S10/B.1.1/2020-10-06,2020-10-06,good
138878_S11/B.1.1/2020-10-07,2020-10-07,good
138906_S12/B.1.1/2020-10-06,2020-10-06,good
139068_S13/B.1.1.28/2020-10-07,2020-10-07,good
139149_S14/B.1.1.1/2020-10-08,2020-10-08,good
139191_S15/B.1.1/2020-10-07,2020-10-07,good
139193_S16/B.1.1/2020-10-07,2020-10-07,good
139219_S17/B.1.1/2020-10-07,2020-10-07,good
139235_S18/B.1.1/2020-10-08,2020-10-08,good
139281_S19/B.1.1/2020-10-07,2020-10-07,good
139288_S20/B.1.1.1/2020-10-08,2020-10-08,good
139318_S21/B.1.1/2020-10-05,2020-10-05,good
139327_S22/B.1.1/2020-10-06,2020-10-06,good
139333_S23/B.1.1/2020-10-07,2020-10-07,good
139369_S24/B.1.1/2020-10-08,2020-10-08,mediocre
139375_S25/B.1.1.1/2020-10-08,2020-10-08,good
139419_S26/B.1.1/2020-10-08,2020-10-08,good
139470_S27/B.1.1.1/2020-10-08,2020-10-08,good
139472_S28/B.1.1.1/2020-10-08,2020-10-08,good
139519_S29/B.1.1.1/2020-10-08,2020-10-08,good
139532_S30/B.1.1/2020-10-07,2020-10-07,good
139559_S31/B.1.1/2020-10-08,2020-10-08,good
139674_S32/B.1.1.256/2020-10-12,2020-10-12,good
139719_S33/B.1.1/2020-10-09,2020-10-09,good
139747_S34/B.1.1/2020-10-12,2020-10-12,good
139820_S35/B.1.1.117/2020-10-08,2020-10-08,good
139843_S36/B.1.1/2020-10-07,2020-10-07,good
139855_S37/B.1.1.267/2020-10-08,2020-10-08,good
139895_S38/B.1.1/2020-10-12,2020-10-12,good
139939_S39/B.1.1/2020-10-12,2020-10-12,good
1416_S8/B.1.1.409/2020-03-19,2020-03-19,mediocre
141_S86/B.1.1/2020-04-01,2020-04-01,mediocre
1437_S11/B.1.1/2020-03-20,2020-03-20,mediocre
14_S7/B.1.1/2020-03-20,2020-03-20,mediocre
150023_S40/B.1.1/2020-10-30,2020-10-30,good
150028_S41/B.1.177.35/2020-10-28,2020-10-28,mediocre
150029_S42/B.1.177.35/2020-10-29,2020-10-29,mediocre
150031_S43/B.1.1/2020-10-29,2020-10-29,mediocre
150032_S44/B.1.1.117/2020-10-28,2020-10-28,good
150051_S46/B.1.1/2020-10-30,2020-10-30,good
150074_S47/B.1.1.121/2020-10-30,2020-10-30,good
150084_S49/B.1.1/2020-10-30,2020-10-30,good
150086_S50/B.1.1/2020-10-31,2020-10-31,good
150117_S51/B.1.1/2020-10-30,2020-10-30,good
150120_S52/B.1.1/2020-10-30,2020-10-30,good
150180_S53/B.1.1/2020-10-31,2020-10-31,good
150203_S54/B.1.1/2020-10-31,2020-10-31,good
150205_S55/B.1.1/2020-10-31,2020-10-31,good
150206_S56/B.1.1/2020-10-31,2020-10-31,good
150209_S57/B.1.1/2020-10-31,2020-10-31,good
150213_S58/B.1.1/2020-10-29,2020-10-29,good
150215_S59/B.1.1.203/2020-10-29,2020-10-29,good
150219_S60/B.1.1/2020-10-29,2020-10-29,good
150226_S61/B.1.1.203/2020-10-30,2020-10-30,good
150229_S62/B.1.1/2020-10-30,2020-10-30,good
150233_S63/B.1.1.194/2020-10-30,2020-10-30,good
150240H8_S64/B.1.1/2020-10-31,2020-10-31,good
150240_S27/B.1.1/2020-10-31,2020-10-31,good
150271_S65/B.1.1.1/2020-11-02,2020-11-02,good
150273_S66/B.1.1/2020-11-02,2020-11-02,good
150281_S67/B.1.1.441/2020-10-31,2020-10-31,good
150287_S68/B.1.1/2020-11-02,2020-11-02,good
150308_S30/B.1.1/2020-11-01,2020-11-01,good
150320_S69/B.1.1/2020-11-01,2020-11-01,good
150349_S70/B.1.1/2020-11-03,2020-11-03,mediocre
150390_S71/B.1.1/2020-11-04,2020-11-04,good
150409_S72/B.1.1.485/2020-11-04,2020-11-04,mediocre
150411_S73/B.1.1.411/2020-11-04,2020-11-04,good
150429_S74/B.1.1.51/2020-10-30,2020-10-30,good
150469_S75/B.1.1.207/2020-11-04,2020-11-04,good
150484_S76/B.1.1/2020-11-04,2020-11-04,mediocre
150486_S77/B.1.1/2020-11-04,2020-11-04,good
150615_S78/B.1.1.213/2020-11-01,2020-11-01,good
150661_S79/B.1.1/2020-11-02,2020-11-02,good
150671_S80/B.1.1/2020-11-03,2020-11-03,good
150728_S81/B.1.1/2020-11-04,2020-11-04,good
150768_S82/B.1.1/2020-11-04,2020-11-04,good
150867_S83/B.1.1.411/2020-11-04,2020-11-04,good
151178_S36/B.1.1/2020-11-04,2020-11-04,good
151319_S39/B.1.1/2020-11-04,2020-11-04,good
156183_S84/B.1.1/2020-11-13,2020-11-13,good
156199_S85/B.1.1.434/2020-11-12,2020-11-12,good
156268_S86/B.1.177/2020-11-16,2020-11-16,good
156320_S87/B.1.1.411/2020-11-12,2020-11-12,good
156327_S88/B.1.1.411/2020-11-12,2020-11-12,good
156354_S89/B.1.1/2020-11-13,2020-11-13,good
156493_S90/B.1.1/2020-11-14,2020-11-14,mediocre
156494_S91/B.1.1/2020-11-14,2020-11-14,good
156508_S93/B.1.1.12/2020-11-16,2020-11-16,good
156516_S94/B.1.1.411/2020-11-16,2020-11-16,good
156589_S95/B.1.1.411/2020-11-16,2020-11-16,good
156656_S96/B.1.1/2020-11-15,2020-11-15,good
156714_S4/B.1.1/2020-11-15,2020-11-15,good
156715_S5/B.1.1/2020-11-15,2020-11-15,good
156752_S6/B.1.1/2020-11-16,2020-11-16,mediocre
156758_S7/B.1.1/2020-11-16,2020-11-16,good
156813_S10/B.1.1/2020-11-16,2020-11-16,good
