#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2020-01-14	2020.037417	2019.874291	2020.206284
NODE_0001152	2020-10-05	2020.760754	2020.305069	2021.130866
EPIISL6129253/AY.35/2021-08-15/GUAYAS	2021-08-15	2021.620548	2021.620548	2021.620548
NODE_0001153	2020-10-30	2020.829193	2020.514628	2021.251473
NODE_0001154	2020-12-21	2020.970897	2020.614404	2021.469313
EPIISL3274433/AY.26/2021-07-18/PICHINCHA	2021-07-18	2021.543836	2021.543836	2021.543836
NODE_0001155	2021-06-02	2021.417428	2021.292988	2021.507660
EPIISL3824591/AY.53/2021-07-13/PICHINCHA	2021-07-13	2021.530137	2021.530137	2021.530137
NODE_0001156	2021-07-01	2021.496720	2021.439478	2021.527783
EPIISL3274101/AY.53/2021-07-14/PICHINCHA	2021-07-14	2021.532877	2021.532877	2021.532877
NODE_0001157	2021-07-19	2021.546574	2021.517765	2021.645205
EPIISL6128425/AY.53/2021-08-24/LOS_RIOS	2021-08-24	2021.645205	2021.645205	2021.645205
NODE_0001158	2021-08-16	2021.623260	2021.579802	2021.645205
EPIISL6128628/AY.53/2021-08-24/LOS_RIOS	2021-08-24	2021.645205	2021.645205	2021.645205
NODE_0000010	2021-08-22	2021.640983	2021.604569	2021.645205
EPIISL6128740/AY.53/2021-08-24/LOS_RIOS	2021-08-24	2021.645205	2021.645205	2021.645205
EPIISL6128680/AY.53/2021-08-24/LOS_RIOS	2021-08-24	2021.645205	2021.645205	2021.645205
NODE_0001160	2021-04-14	2021.283532	2021.226264	2021.438243
NODE_0000012	2021-04-16	2021.290131	2021.242622	2021.441605
NODE_0001182	2021-05-12	2021.359993	2021.294113	2021.505513
EPIISL5330391/AY.103/2021-08-18/PICHINCHA	2021-08-18	2021.628767	2021.628767	2021.628767
NODE_0001183	2021-08-02	2021.584765	2021.488175	2021.647110
EPIISL6335051/AY.103/2021-08-31/PICHINCHA	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0001184	2021-08-29	2021.660161	2021.596484	2021.664384
EPIISL6334995/AY.103/2021-08-31/PICHINCHA	2021-08-31	2021.664384	2021.664384	2021.664384
